transect_id;walk_number;method;length_m;eff_time_h;cam_id;habitat_type;n_sightings;n_species_detected;n_carnivores;n_herbivores;n_omnivores;mean_weight_animal_detected;tempmax;tempmin;precip;cloudcover
1;1;walk1;2878;1.6;NA;1;5;3;0;3;0;126.1666667;27.5;5.1;0;0
1;2;walk1;2878;1.3;NA;1;2;2;0;2;0;157.5;27.5;5.1;0;0
1;3;walk1;2878;1.35;NA;1;8;1;0;1;0;60;19.5;9.8;0;94.5
1;4;walk1;2878;1.57;NA;1;12;2;0;1;1;32.88;24.3;8.4;0;1.8
1;5;walk1;2878;1.6;NA;1;1;5;0;4;1;87.16666667;18.7;8.9;0.4;76.6
1;6;walk1;2878;1.08;NA;1;2;1;0;1;0;60;28.5;10.6;0.05;88
1;7;walk1;2878;1.27;NA;1;2;2;0;2;0;38.375;24.2;12.9;0;78.7
1;8;walk1;2878;1.43;NA;1;1;1;0;1;0;101;30.8;9.9;0;11.6
2;9;walk1;423;0.18;NA;1;0;0;0;0;0;NA;24.3;5.3;0;0
2;10;walk1;423;0.25;NA;1;0;0;0;0;0;NA;19.5;9.8;0;94.5
2;11;walk1;423;0.22;NA;1;1;1;0;1;0;60;22;9.8;0;22.7
2;12;walk1;423;0.15;NA;1;1;1;0;1;0;60;18.7;8.9;0.4;76.6
2;13;walk1;423;0.18;NA;1;1;1;0;1;0;101;28.5;10.6;0.05;76.6
2;14;walk1;423;0.22;NA;1;1;1;0;1;0;60;16.5;11.1;0.37;88
3;15;walk1;477;0.25;NA;1;1;1;0;1;0;215;24.3;5.3;0;0
3;16;walk1;477;0.25;NA;1;2;1;0;1;0;137.5;19.5;9.8;0;94.5
3;17;walk1;477;0.23;NA;1;2;2;0;2;0;115.875;22;9.8;0;22.7
3;18;walk1;477;0.13;NA;1;1;1;0;1;0;60;18.7;8.9;0.4;76.6
3;19;walk1;477;0.17;NA;1;0;0;0;0;0;NA;28.5;10.6;0.05;88
3;20;walk1;477;0.17;NA;1;1;1;0;1;0;215;16.5;11.1;0.37;82.5
4;21;walk1;404;0.4;NA;2;2;2;0;2;0;233;24.3;5.3;0;0
